"Model","HR","CI_lower","CI_upper","P_value"
"Main Analysis",2.28855163458865,2.1991112664686,2.38162964468319,0
"Excluding Early Deaths",2.16496279308389,2.06222952093057,2.27281388801116,6.8218942473355e-213
"Complete Case",2.14282056269886,2.04135734147202,2.24932689178957,3.14341628116096e-208
